File,Valance,Arousal,Dominance,Valance_0,Arousal_0,Dominance_0
DV_294,5,3,5,4,6,4
DV_2372,5,5,4,5,4,3
DV_262,1,2,6,4,5,5
DV_2770,8,5,8,6,5,6
DV_1706,3,5,1,5,5,5
DV_940,3,5,4,5,5,4
DV_3546,2,8,5,5,5,4
DV_3020,2,8,1,5,5,4
DV_2216,4,7,5,5,4,5
DV_1562,4,7,1,5,5,5
DV_2618,3,8,1,5,4,4
DV_428,2,8,2,6,5,3
DV_3784,6,2,6,5,5,5
DV_3516,8,1,9,5,5,5
DV_2498,7,2,5,5,4,3
DV_1302,1,5,8,5,4,7
DV_2876,7,2,7,5,5,4
DV_1596,5,8,5,6,5,5
DV_2120,6,1,7,5,5,5
DV_1048,1,6,4,3,3,4
DV_1174,7,6,7,4,4,5
DV_2886,4,3,3,5,5,5
DV_3650,6,4,7,5,5,5
DV_1716,9,1,9,5,5,5
DV_2746,7,9,8,6,5,6
DV_1306,8,8,9,5,5,5
DV_1720,2,4,1,5,5,5
DV_2624,7,3,8,5,4,4
DV_2246,6,2,8,5,4,5
DV_2368,6,6,5,5,5,3
DV_3520,1,5,6,5,5,5
DV_3670,3,8,1,5,5,5
DV_1336,1,7,4,5,5,5
DV_1208,5,5,3,3,3,5
DV_3654,2,6,2,5,5,5
DV_2232,8,4,9,5,4,5
DV_2350,3,6,4,5,5,6
DV_2732,3,3,1,5,5,6
DV_1042,3,8,9,4,4,5
DV_1044,3,9,9,4,5,5
DV_1046,5,2,2,5,5,4
DV_1050,1,7,2,5,5,4
DV_1052,7,9,9,5,5,4
DV_1054,2,8,9,5,5,4
DV_1056,7,5,5,5,5,4
DV_1058,1,4,3,5,5,4
DV_1060,3,3,4,5,5,4
DV_1062,8,8,5,5,5,4
DV_1064,5,1,1,5,5,4
DV_1066,6,4,3,5,5,4
DV_1068,8,8,5,5,5,4
DV_268,9,7,9,5,5,4
DV_3536,1,5,7,5,5,4
DV_2478,1,4,1,5,5,3
DV_2768,8,4,9,5,5,6
DV_2500,6,4,6,5,5,4
DV_3154,6,8,5,4,4,5
DV_918,5,5,7,8,6,8
DV_3382,7,5,9,5,5,4
DV_1952,4,6,3,3,3,4
DV_1954,5,4,4,5,5,4
DV_1956,7,6,4,5,5,5
DV_1958,5,1,3,5,5,5
DV_1960,4,1,3,5,5,5
DV_1962,6,3,3,5,5,5
DV_1964,7,5,3,4,4,5
DV_1966,5,3,5,5,4,5
DV_1968,6,4,5,5,5,5
DV_1970,4,4,5,5,5,5
DV_1972,5,1,5,5,5,5
DV_1974,4,6,5,5,5,5
DV_1976,4,2,5,5,5,5
DV_1978,7,7,5,5,5,5
DV_1980,6,4,5,5,5,5
DV_1982,5,4,5,5,5,5
DV_2494,2,2,5,5,5,4
DV_2366,5,3,5,5,5,3
DV_3530,8,4,9,5,5,4
DV_2242,4,6,9,5,4,5
DV_946,7,3,9,5,5,5
DV_2620,5,4,6,5,4,4
DV_136,5,2,9,5,5,3
DV_3128,5,1,9,4,4,5
DV_920,2,6,3,5,5,5
DV_1726,2,2,1,5,5,4
DV_3402,2,7,2,5,5,4
DV_3404,6,3,8,5,5,4
DV_2866,1,8,1,5,5,5
DV_3152,7,3,9,4,4,5
DV_292,5,1,5,4,5,4
DV_1712,1,9,1,5,5,5
DV_2900,6,1,7,5,5,6
DV_2100,2,6,3,5,5,5
DV_264,5,1,5,5,5,6
DV_266,3,6,4,4,5,4
DV_270,8,5,5,5,5,6
DV_272,1,5,4,4,5,4
DV_274,1,2,3,5,5,5
DV_276,8,8,7,5,5,4
DV_3656,7,3,7,5,5,5
DV_2750,9,6,9,5,5,6
DV_2,3,4,1,5,5,4
DV_656,3,1,4,4,4,4
DV_4,3,6,1,5,5,4
DV_6,9,8,5,5,5,4
DV_796,8,6,8,5,5,4
DV_8,5,7,3,5,5,4
DV_806,1,8,5,5,5,4
DV_22,4,9,5,5,5,4
DV_672,1,7,3,4,4,4
DV_522,3,5,5,5,5,4
DV_2116,3,3,5,5,5,5
DV_922,6,1,8,5,5,5
DV_538,3,7,4,6,5,5
DV_792,1,7,1,5,4,3
DV_544,9,5,9,5,4,5
DV_2756,2,7,2,5,5,6
DV_2758,5,4,9,5,5,6
DV_2760,1,7,6,5,5,6
DV_2762,2,6,3,5,5,6
DV_2764,5,2,9,5,5,6
DV_2766,5,2,9,5,5,6
DV_1564,7,5,6,6,5,5
DV_1568,3,4,1,5,5,5
DV_2090,5,4,5,5,5,5
DV_2092,6,2,5,5,5,5
DV_2094,6,2,4,5,5,5
DV_2096,2,4,2,5,5,5
DV_2102,8,5,5,4,5,4
DV_2104,5,2,8,4,5,4
DV_2106,6,1,6,4,5,4
DV_2108,3,3,4,4,5,4
