File,Valance,Arousal,Dominance,Valance_0,Arousal_0,Dominance_0
TR_3796,5,2,6,6,4,6
TR_3806,6,4,7,5,4,6
TR_3016,7,1,8,6,5,5
TR_3022,9,6,2,5,4,5
TR_3538,7,6,7,5,5,8
TR_3544,9,4,9,4,5,8
TR_2736,5,3,1,6,6,7
TR_3800,6,3,8,7,5,6
TR_3392,3,4,6,4,5,6
TR_3400,8,7,7,4,5,6
TR_3410,6,3,8,4,5,6
TR_3412,6,6,3,4,5,6
TR_3414,7,7,6,4,5,6
TR_3420,2,7,2,4,5,6
TR_2510,1,3,2,4,4,4
TR_3012,9,4,5,8,6,6
TR_3014,4,2,5,5,5,5
TR_2362,4,4,5,4,6,5
TR_3024,2,7,1,6,5,4
TR_3030,7,2,8,6,5,5
TR_2734,8,5,9,8,6,7
TR_2744,9,8,7,8,6,7
TR_2740,6,4,7,6,6,7
TR_3550,3,1,9,4,7,7
TR_3790,3,6,3,8,5,7
TR_652,5,3,9,5,5,7
TR_654,7,5,9,7,5,7
TR_660,9,5,6,6,5,7
TR_658,7,5,4,5,5,7
TR_662,1,3,3,5,5,7
TR_664,8,5,9,5,5,7
TR_666,1,3,7,5,5,6
TR_670,8,6,9,4,4,6
TR_668,5,5,5,4,4,6
TR_674,4,6,6,5,6,8
TR_676,1,6,6,5,5,7
TR_680,3,6,7,5,5,7
TR_678,8,7,9,5,5,7
TR_682,5,5,7,4,5,6
TR_684,1,1,9,4,5,7
TR_690,8,7,9,7,5,7
TR_686,3,1,9,4,4,6
TR_132,5,3,5,3,5,6
TR_134,3,6,7,3,5,6
TR_138,2,7,4,3,5,6
TR_140,6,4,4,3,4,6
TR_142,1,7,5,3,5,6
TR_146,6,4,8,5,5,6
TR_150,5,3,6,3,5,6
TR_148,1,7,6,3,5,6
TR_154,4,1,6,3,5,6
TR_160,4,4,6,3,4,6
TR_158,2,2,7,3,4,5
TR_162,1,5,8,3,5,6
TR_170,5,6,5,3,5,6
TR_164,7,6,7,3,5,6
TR_524,2,7,4,4,5,6
TR_526,6,3,9,4,5,6
TR_528,8,5,8,8,6,6
TR_530,8,7,6,6,6,6
TR_532,4,5,6,4,6,6
TR_534,5,3,9,5,5,6
TR_536,1,8,2,5,6,6
TR_540,4,7,6,5,7,6
TR_542,1,6,5,5,6,6
TR_546,5,5,4,5,6,6
TR_548,5,7,3,5,6,6
TR_552,8,4,9,5,6,6
TR_556,4,6,6,6,6,6
TR_558,9,6,9,4,6,6
TR_560,5,1,9,5,7,6
TR_782,7,5,2,6,7,6
TR_784,1,7,5,5,7,5
TR_788,1,7,7,3,5,3
TR_794,1,3,2,4,4,4
TR_798,5,5,6,3,4,3
TR_802,5,2,2,3,5,4
TR_804,3,4,3,4,5,4
TR_808,2,5,3,3,5,4
TR_810,1,6,3,1,5,4
TR_812,5,3,1,4,5,4
TR_814,1,5,5,2,6,4
TR_816,9,7,6,4,6,4
TR_818,5,2,1,4,6,4
TR_3512,1,6,7,5,5,8
TR_2490,1,7,1,4,2,4
TR_3514,6,3,9,5,5,8
TR_3518,1,2,9,5,5,8
TR_3522,4,1,9,4,5,8
TR_3526,9,7,9,4,5,8
TR_3532,9,8,9,7,5,8
TR_3534,4,1,9,5,5,8
TR_3540,3,3,8,5,5,9
TR_3542,1,4,8,4,6,8
TR_3548,5,1,9,3,3,8
TR_3384,3,4,2,4,3,5
TR_3388,6,6,9,4,5,6
TR_3396,5,3,8,4,5,6
TR_3390,1,7,1,4,5,6
TR_3398,7,5,9,4,5,6
TR_3406,3,4,3,4,5,6
TR_3408,5,1,8,4,5,6
TR_3416,2,8,2,4,5,6
TR_3418,5,1,8,7,5,6
TR_3772,4,2,4,5,4,6
TR_3774,5,1,7,5,4,6
TR_3776,7,4,7,7,4,6
TR_3778,6,4,5,5,4,6
TR_3786,5,1,8,5,4,6
TR_3794,3,4,3,4,4,6
TR_3780,3,6,3,4,3,5
TR_3802,5,1,5,5,5,6
TR_3804,4,3,5,5,5,6
TR_3808,4,3,4,6,4,6
TR_3810,7,4,7,6,4,6
TR_2992,4,6,3,6,4,4
TR_2994,2,7,1,4,4,4
TR_2996,7,5,8,7,6,6
TR_3004,2,6,2,5,5,5
TR_3008,8,2,5,6,5,5
TR_3010,6,5,5,5,5,5
TR_3000,3,6,4,4,3,4
TR_3018,7,1,7,4,4,4
TR_3028,3,6,1,4,4,4
TR_2472,6,2,5,4,4,5
TR_2474,2,6,1,4,3,4
TR_2476,7,2,3,4,3,4
TR_2482,7,6,4,6,3,4
TR_2488,2,7,1,2,6,3
TR_2492,2,3,1,3,3,4
TR_2480,5,1,5,4,3,4
TR_2496,1,1,2,6,3,5
TR_2504,7,3,5,4,3,4
TR_2506,3,1,5,4,3,4
TR_2508,1,1,2,3,1,3
TR_2862,7,2,5,7,3,5
TR_2864,3,4,3,4,3,5
TR_2868,1,5,1,5,3,5
TR_2872,3,2,5,7,3,5
TR_2874,6,1,4,5,3,5
TR_2878,6,1,6,6,3,5
TR_2870,4,2,4,4,3,5
TR_2882,5,1,5,4,3,5
TR_2884,7,3,5,4,3,5
TR_2888,3,2,4,4,3,5
TR_2880,2,7,5,5,3,5
