file,target_0,target_1,output_0_0,output_0_1,output_0_2,output_0_3,output_0_4,output_0_5,output_0_6,output_0_7,output_0_8,output_0_9,output_0_10,output_0_11,output_0_12,output_0_13,output_0_14,output_0_15,output_0_16,output_0_17,output_0_18,output_0_19,output_0_20,output_0_21,output_0_22,output_0_23,output_0_24,output_0_25,output_0_26,output_0_27,output_0_28,output_0_29,output_0_30,output_0_31,output_0_32,output_0_33,output_0_34,output_0_35,output_0_36,output_0_37,output_0_38,output_0_39,output_0_40,output_0_41,output_0_42,output_0_43,output_0_44,output_0_45,output_0_46,output_0_47,output_0_48,output_0_49,output_0_50,output_0_51,output_0_52,output_0_53,output_0_54,output_0_55,output_0_56,output_0_57,output_0_58,output_0_59,output_0_60,output_0_61,output_0_62,output_0_63,output_1_0,output_1_1,output_1_2,output_1_3,output_1_4,output_1_5,output_1_6,output_1_7,output_1_8,output_1_9,output_1_10,output_1_11,output_1_12,output_1_13,output_1_14,output_1_15,output_1_16,output_1_17,output_1_18,output_1_19,output_1_20,output_1_21,output_1_22,output_1_23,output_1_24,output_1_25,output_1_26,output_1_27,output_1_28,output_1_29,output_1_30,output_1_31,output_1_32,output_1_33,output_1_34,output_1_35,output_1_36,output_1_37,output_1_38,output_1_39,output_1_40,output_1_41,output_1_42,output_1_43,output_1_44,output_1_45,output_1_46,output_1_47,output_1_48,output_1_49,output_1_50,output_1_51,output_1_52,output_1_53,output_1_54,output_1_55,output_1_56,output_1_57,output_1_58,output_1_59,output_1_60,output_1_61,output_1_62,output_1_63,output_2_0,output_2_1,output_2_2,output_2_3,output_2_4,output_2_5,output_2_6,output_2_7,output_2_8,output_2_9,output_2_10,output_2_11,output_2_12,output_2_13,output_2_14,output_2_15,output_2_16,output_2_17,output_2_18,output_2_19,output_2_20,output_2_21,output_2_22,output_2_23,output_2_24,output_2_25,output_2_26,output_2_27,output_2_28,output_2_29,output_2_30,output_2_31,output_2_32,output_2_33,output_2_34,output_2_35,output_2_36,output_2_37,output_2_38,output_2_39,output_2_40,output_2_41,output_2_42,output_2_43,output_2_44,output_2_45,output_2_46,output_2_47,output_2_48,output_2_49,output_2_50,output_2_51,output_2_52,output_2_53,output_2_54,output_2_55,output_2_56,output_2_57,output_2_58,output_2_59,output_2_60,output_2_61,output_2_62,output_2_63
TR_3796.csv,5,6,-0.8618252,-0.8079182,-0.7410504,0.7304223,0.7429301,-0.79876006,-0.60672814,0.75393385,-0.31602326,-0.77847683,-0.14284827,-0.44089803,-0.8911282,-0.7632348,0.93172354,0.36936778,0.16256288,-0.93347955,0.8352067,0.7031743,0.75304824,0.7908698,-0.60959333,-0.51825625,0.7529095,0.7951505,0.20885189,0.78373003,0.9068849,-0.41702366,0.8437904,0.6829546,-0.89300305,-0.7607346,0.06958516,0.6974075,-0.88400626,0.8518262,0.047094584,0.3458898,-0.7539402,0.3365012,-0.66987056,0.77030903,-0.95456684,0.7094336,-0.910798,-0.8691644,0.8365623,-0.11312573,0.6190436,0.33601585,-0.95994014,0.42243725,-0.97366506,-0.4034909,0.2878928,0.9130542,0.379,0.81681216,-0.88661057,-0.47312182,-0.8548283,0.7285823,-0.0095506925,0.18980235,0.025961779,0.37346914,0.11013884,-0.35525283,0.29376656,-0.46327472,0.31032756,0.288761,-0.04500272,-0.3518547,-0.21396637,-0.58036554,0.19204038,-0.22222836,0.039980557,0.110597335,-0.35746267,0.07796405,-0.3591006,0.054884266,-0.07490273,0.1995938,0.37336868,0.4076416,0.17487039,-0.33392498,-0.24628799,-0.040836606,0.003038973,-0.2985659,0.44652063,0.35930827,-0.41721493,0.39001694,0.3735353,-0.2207589,0.6240008,0.17846394,0.22453609,0.28116488,0.041558478,0.2983132,0.185007,0.50779015,-0.20746647,0.109618776,0.43750343,0.21439742,-0.05550338,-0.4306331,-0.3182128,0.38160792,0.33546275,-0.52072877,-0.05557072,-0.2737178,0.2547442,0.17565058,-0.12293159,0.057848364,0.21333061,-0.047937363,0.09944589,0.24368,-0.68879884,0.80073553,-0.506351,-0.116179824,-0.06443578,-0.36520728,0.84637034,0.7236779,0.8168326,-0.32819456,-0.10103539,0.3686883,0.55783796,0.356253,-0.12772574,-0.2540781,0.9408108,0.28558832,0.19150364,0.69967264,-0.19451508,-0.40787444,-0.0811087,-0.28659683,-0.33731848,0.57487684,0.11863831,0.8651966,0.16165012,-0.60941803,0.31831342,-0.51932204,0.2392934,-0.37775403,0.71408176,0.81433314,-0.23601687,-0.5070857,-0.3672554,-0.022516685,0.88775814,0.86658657,-0.16198033,0.47798884,0.46888953,-0.4697575,0.7074989,0.9138048,-0.62428474,-0.3374324,0.36170143,0.6746724,-0.82812595,-0.39466953,-0.60942227,-0.43870905,-0.27213162,0.21990474,0.40793365,-0.656468,0.11375606,-0.356553
TR_3806.csv,6,5,-0.47117913,-0.68686485,-0.51545376,-0.14071137,0.08606942,-0.71125484,-0.067473955,-0.408839,-0.05406349,-0.471197,-0.33172765,0.43001103,-0.5232714,0.11227426,0.6947858,0.35790324,0.14757174,-0.14173743,-0.2795454,0.2617799,0.7899868,0.44179577,0.56406677,-0.45880154,0.6257304,0.07544607,0.5342274,0.62852955,0.39007783,-0.80394924,0.86149603,-0.010888018,-0.15886077,-0.16366522,-0.6257769,0.22373736,0.027889391,0.8774472,0.6283379,0.798722,0.13450451,-0.037906274,-0.4169943,0.3106043,-0.6026227,0.43717477,-0.83075875,-0.7012436,0.31314397,-0.46088427,-0.57081306,-0.63815403,-0.6649201,0.7862215,-0.51290536,0.101795256,0.20036213,0.33583352,-0.22457995,0.09180787,-0.62417257,0.3848305,-0.4437378,0.09139192,-0.33087605,-0.05706742,0.11541864,0.46411362,0.054140393,-0.21036671,0.13165903,-0.6798344,-0.399938,-0.20632076,-0.19973397,-0.26069587,-0.09593457,-0.4202124,0.3594481,0.19819754,-0.5010275,-0.06553328,-0.13716432,0.10780481,-0.1713285,0.34410608,-0.67193705,0.3452389,0.16867515,0.16309012,0.25346747,-0.13363834,-0.21783602,-0.014707738,0.045479007,-0.48935053,0.55261534,-0.0546276,0.39357996,0.45417303,0.55442446,-0.32121524,0.3779323,0.35235915,0.08332456,0.15382375,-0.029057808,0.15875581,-0.12159195,0.1074553,-0.01560639,-0.054493193,0.015161503,-0.2620068,-0.04948064,-0.14637235,0.12967543,0.207734,0.51947176,-0.1568229,-0.19178663,-0.33586782,0.52231693,0.006470401,-0.50109917,0.0984188,0.6030039,-0.18912977,0.9529182,0.94611436,0.54366934,0.97010916,-0.8353811,0.76201904,0.85233414,-0.94959426,0.7839893,0.95267695,0.92929643,-0.95364577,-0.9399484,0.8788719,-0.14186366,0.059947077,-0.9209657,-0.8912201,0.93195647,-0.8882506,-0.85085154,0.83417344,-0.9594824,-0.9461619,-0.9019871,0.9310993,-0.77564096,-0.16567527,-0.33072135,0.89873224,0.73199886,-0.9551114,0.75747097,-0.6034328,0.9679853,0.7260604,0.983512,0.6288393,-0.927556,0.074035004,-0.92703116,0.714388,0.6800765,0.97127414,-0.6887247,-0.3277723,0.9163771,0.13813369,0.9737298,0.9312428,0.5619037,-0.9275727,-0.61184156,0.9040727,-0.9033522,0.035957433,-0.5998251,0.77226675,0.82589954,0.6061513,0.896145,-0.5460465,0.9040697,-0.9669862
TR_3016.csv,7,6,-0.2821304,0.059878472,0.4217358,-0.8259556,-0.77608436,-0.59750915,0.59977293,-0.90353835,-0.81405354,0.41886863,-0.8277029,0.71323526,0.48821285,0.92058605,-0.07770949,-0.8111753,0.6060606,0.55238175,-0.8292396,-0.6353337,0.86689943,-0.72709745,0.93630487,-0.5704205,0.31721053,-0.88421357,0.8816976,0.1011061,-0.3541441,-0.96359885,0.93247855,-0.899368,0.9275247,0.78232974,-0.91812205,-0.8056841,0.89505935,0.4187982,0.97877216,0.9372055,0.7622763,-0.65754175,-0.3484821,-0.72708803,-0.23327704,-0.33902737,-0.7787443,-0.39884698,-0.7855355,-0.9485876,-0.9608698,-0.8008486,0.31982425,0.9759459,0.18420222,0.86272615,0.19035384,-0.21785402,-0.8789954,-0.53904706,0.30483165,0.90482175,0.81248057,-0.63028866,-0.40149215,-0.089243606,0.08744548,0.45114747,0.072331175,-0.3700601,-0.35498714,-0.6152102,-0.010440562,-0.35657647,-0.07403287,-0.23942848,0.31050274,-0.20193645,0.51234937,0.32575434,-0.24106973,-0.21878232,0.022864668,0.054528587,-0.004300187,0.61806506,-0.38495407,0.43584752,0.18445168,0.15698552,-0.0735323,-0.07758232,-0.32768223,-0.16722202,-0.27274257,-0.2731835,0.47913808,-0.15132968,0.557466,0.17171788,0.64278215,-0.32308692,0.0665143,-0.027691497,0.2924395,0.096730396,-0.20145732,-0.20842373,-0.17604184,-0.011849936,-0.32207006,0.071172744,-0.0769766,0.036877148,-0.18580039,0.21360499,-0.12038609,0.19098425,0.3553117,-0.06521224,-0.0021695336,-0.46307147,0.4952811,0.12908827,-0.6373068,0.069034554,0.7030755,-0.09705051,0.43701443,0.85907406,-0.6281176,0.8696138,-0.78536826,-0.072530866,0.2636316,-0.64070576,0.9212202,0.8237128,0.934205,-0.55989134,-0.6973494,0.6550986,0.21941572,0.5755792,-0.42510778,-0.3656532,0.9101898,-0.08566978,-0.13458493,0.8185307,-0.46582276,-0.7863567,-0.40559244,0.19522037,-0.46365443,0.14679089,0.19763133,0.9035109,0.45671868,-0.6373938,0.21121967,-0.7366791,0.6532487,-0.37594986,0.8730639,0.7372478,-0.80627984,0.016534138,-0.842408,0.34556577,0.83207196,0.94940245,-0.21262842,0.39787716,0.7143559,-0.44209906,0.8002157,0.96564335,-0.5517793,-0.724911,0.068267874,0.81600803,-0.88711476,-0.45353344,-0.8004976,0.02201714,0.32003582,0.5061968,0.6208108,-0.46273288,0.6320445,-0.2798549
TR_3022.csv,9,5,-0.8160955,-0.87067515,-0.84805316,0.6803186,0.8088551,-0.7616022,-0.6708036,0.84352696,0.23594213,-0.8662734,0.24352062,-0.543838,-0.8772009,-0.8976062,0.9569985,0.5623042,0.3898951,-0.8996077,0.84867066,0.8769801,0.58804274,0.8204463,-0.5774038,-0.64160836,0.7527605,0.8556148,0.14521267,0.7905872,0.84961087,-0.14710975,0.787395,0.74963427,-0.91007954,-0.68449515,0.058593947,0.82959116,-0.8089849,0.92815065,-0.19768727,0.519838,-0.78311884,0.68644494,-0.6079482,0.7600085,-0.95253915,0.7683686,-0.84213346,-0.88227105,0.84378564,0.08051916,0.6896548,0.2542079,-0.93981135,0.25820363,-0.96844393,-0.6904198,0.09213618,0.8814157,0.59818256,0.77072805,-0.898607,-0.63217807,-0.8913148,0.8682451,-0.28203794,-0.017219113,0.09429356,0.17452283,0.03609329,-0.45597887,-0.092451066,-0.59957093,0.041664395,0.06886616,-0.096774876,-0.08055554,-0.058361776,-0.35221723,0.39167607,0.007494241,0.20484568,-0.05662963,-0.1435333,0.059175827,0.09696269,0.33800417,0.07886484,0.3735653,0.15077448,-0.03277453,0.03646165,-0.14322455,-0.28428546,-0.053735636,0.12221049,-0.07820936,0.1282052,0.17953002,0.38828242,0.24077743,0.23343043,-0.25656414,0.1670881,0.02391755,0.38919926,-0.0057475786,0.12619051,-0.089087345,0.21043143,-0.04598773,-0.27034187,0.15769973,0.3490291,0.2674062,-0.23803778,-0.24580914,-0.23144922,0.28086668,0.20892845,-0.3064934,0.1516151,-0.36292848,0.058660723,0.13815655,-0.21853097,0.06462148,0.27819756,-0.030440234,0.9424557,0.92593867,0.29367986,0.96255034,-0.82861376,0.6148074,0.7487817,-0.9285478,0.85041165,0.9464,0.9320218,-0.9326922,-0.91363126,0.87627345,0.04997348,0.12029215,-0.88103473,-0.84577173,0.956118,-0.8248973,-0.8136335,0.86503196,-0.95598096,-0.9103047,-0.8435344,0.89078975,-0.7544127,-0.07316269,-0.35866347,0.9214808,0.69801724,-0.9512981,0.7668652,-0.6642803,0.93382597,0.58403647,0.9786352,0.6870712,-0.90632313,0.013229757,-0.9217185,0.56903446,0.75703204,0.9756282,-0.6608511,-0.04173335,0.9236921,-0.15420842,0.96933293,0.94927156,0.42791936,-0.92270845,-0.53224295,0.908469,-0.9248464,-0.12241156,-0.7231222,0.68927604,0.6968877,0.6008445,0.8819781,-0.6161933,0.8296591,-0.930894
TR_3538.csv,7,5,-0.7616225,-0.7138155,-0.7731861,0.5664059,0.8525067,-0.6266946,-0.737827,0.8035955,0.1279294,-0.7549809,-0.027413435,-0.42517567,-0.85654765,-0.7871568,0.8039316,0.6961616,0.18884397,-0.8750545,0.7161756,0.8734544,0.42861956,0.6558306,-0.51886636,-0.30334216,0.4857378,0.88076323,-0.073808104,0.6081358,0.856059,-0.27386358,0.50417674,0.5586948,-0.84472823,-0.6757507,-0.08770272,0.83270866,-0.7681012,0.90491,-0.4231748,0.31011945,-0.555143,0.4317204,0.09284474,0.73508567,-0.86519444,0.6189212,-0.5782318,-0.7207818,0.7277137,0.07700299,0.49685562,0.23457924,-0.92338455,0.12662578,-0.92015237,-0.39535606,-0.07485558,0.7860773,0.32485777,0.7198204,-0.8039079,-0.4976566,-0.7911751,0.8062797,-0.57780594,0.23289278,0.04133205,0.11086844,0.009316031,-0.32231462,0.17066754,-0.6965108,-0.27637267,-0.05054424,-0.48984146,-0.31449166,0.055163022,-0.4920156,0.26765797,-0.31460968,-0.51099646,-0.21077031,-0.13626039,0.115246825,0.031222573,-0.06141424,-0.5704422,-0.065874666,0.06369857,0.23291348,0.56239164,0.28167772,-0.3735916,0.25172538,-0.07676868,-0.6040932,0.5118981,0.2520729,0.28094566,0.35025638,0.5044385,-0.43706945,0.19998007,0.24241924,0.095700964,0.20915592,0.29577243,0.061702374,-0.3381908,0.5687153,0.0485011,0.083018586,-0.019773856,-0.4161262,-0.037594825,0.07063882,0.64066,0.4417761,0.63728863,-0.05961138,-0.33341217,-0.1841441,0.4482109,0.49204642,-0.27698606,0.34484938,0.4574386,0.116539374,0.8181092,0.7751546,-0.12620728,0.8891339,-0.7152583,0.28597656,0.40721014,-0.67148584,0.87833786,0.8820437,0.8577194,-0.74014926,-0.6889683,0.6420715,0.19946529,0.27615312,-0.6988095,-0.61884016,0.93953174,-0.48928988,-0.30798912,0.8048554,-0.81244195,-0.77282804,-0.4442883,0.56434005,-0.41852543,0.24021232,0.018866368,0.9168298,0.47098127,-0.7213059,0.539623,-0.42285538,0.7521329,0.1651096,0.8721112,0.7620094,-0.7536836,-0.1955986,-0.7515859,0.28540927,0.7872394,0.8729469,-0.3555373,0.27483636,0.82632273,-0.15754013,0.88758636,0.9474072,0.019700216,-0.7488586,-0.0959657,0.7402754,-0.8175432,-0.07835749,-0.62591815,0.13191128,0.20447186,0.14820594,0.5793374,-0.54084325,0.5499341,-0.74649924
TR_3544.csv,9,4,-0.8678221,-0.85935026,-0.8964287,0.89181995,0.8618021,-0.8195049,-0.91099226,0.769271,-0.069689244,-0.92470735,0.5052231,-0.82526344,-0.93104273,-0.9435294,0.9474347,0.73315793,0.33115244,-0.96060836,0.92800504,0.9287616,0.7889145,0.94055617,-0.7923184,-0.7230057,0.77398,0.88956255,0.043387745,0.6839326,0.93903625,-0.58458877,0.6151238,0.7091551,-0.935183,-0.84399796,0.070903555,0.89528596,-0.92253506,0.947098,-0.42980194,0.3820562,-0.89240116,0.4208436,-0.39460203,0.889792,-0.9451424,0.8939795,-0.73762983,-0.85423964,0.94589996,-0.09778688,0.79855347,0.5764114,-0.9706796,0.36724806,-0.9910357,-0.6743887,-0.051518343,0.90821266,0.6380989,0.88451695,-0.87023264,-0.7284892,-0.9669742,0.9145377,-0.061361656,0.31864238,0.09157243,0.073369935,-0.071939945,-0.23299104,0.06685904,-0.38074672,0.015702711,0.03692908,-0.15615998,-0.18323117,-0.0814964,-0.29978618,0.1507705,-0.12463469,-0.17320795,-0.04285475,-0.041549288,-0.056328643,0.0062966403,0.11237538,-0.085673116,0.0728015,-0.20244607,0.12413964,0.0067371195,0.14991003,-0.15377817,0.17320524,-0.06651397,-0.08647599,0.09230277,0.011174018,-0.07910773,-0.005758168,0.11894579,-0.16354124,0.023174763,0.034228608,0.29936174,0.13491699,0.0406636,0.24564178,0.112062715,0.16257638,0.03330406,0.17702901,0.12827979,0.24120829,-0.010264548,-0.006570082,0.14985636,0.0042830207,0.15467618,0.16138853,-0.035167683,0.051366452,-0.2072971,0.29006937,-0.08599554,0.13554949,0.068736024,-0.0017395227,0.9195279,0.918344,0.08513075,0.959154,-0.8473486,0.48897275,0.7141323,-0.8849391,0.8656782,0.92868274,0.9380616,-0.91870725,-0.85721344,0.8367937,0.058259208,0.3059493,-0.7964176,-0.8767628,0.9730088,-0.69558877,-0.7636817,0.88141024,-0.9258297,-0.89209586,-0.7571698,0.8434803,-0.72520065,0.04394021,-0.22289802,0.93969434,0.5838072,-0.9431252,0.7766719,-0.6767709,0.9323069,0.50568324,0.97491366,0.7441119,-0.9046644,-0.07054412,-0.8693272,0.4735047,0.81097704,0.9763883,-0.5413022,0.029179484,0.9034391,-0.275078,0.9353662,0.9485724,0.2750292,-0.8954687,-0.21421455,0.8868817,-0.92566615,-0.24935257,-0.7834754,0.6071108,0.55505794,0.5528561,0.80741006,-0.67245835,0.8457469,-0.8937785
TR_2736.csv,5,6,-0.60619766,0.88692266,0.99043125,-0.77043474,-0.9646228,-0.9613405,0.9789862,-0.99291724,-0.85660607,0.9816191,-0.9143605,0.9491711,0.75938565,0.9817751,-0.27161402,-0.99164915,0.9450153,0.97553843,-0.5932121,-0.9349707,0.952342,-0.99610645,0.87955105,-0.31186318,0.94101787,-0.95771617,0.9861466,0.9642764,-0.62250286,-0.85612786,0.9856196,-0.7620222,0.9785967,0.97349143,-0.98683554,-0.9834578,0.94942474,-0.97692907,0.98869133,0.9262948,-0.056299075,-0.18891886,-0.9935597,-0.9923543,-0.8312947,-0.978234,-0.98796874,-0.3373325,-0.96711016,-0.98860985,-0.94896734,-0.82879394,-0.061410718,0.9981694,0.27076274,0.98971915,0.949711,0.89774096,-0.9435564,-0.5689936,0.9910173,0.99050575,0.9924779,-0.9868693,-0.02479017,0.6033087,0.39517707,0.08198514,-0.120263465,-0.5744598,0.28843138,-0.60849726,0.28633937,-0.012695443,-0.5190919,-0.3893918,0.26774088,-0.5986946,-0.15546447,-0.29855326,-0.17666575,-0.13361852,-0.16354437,0.1424954,-0.2807583,0.36098114,-0.7670746,-0.12856062,-0.13423681,0.39791843,0.63222057,0.14938386,0.10448159,-0.14504643,0.1289625,-0.3314952,0.09306966,0.6098834,0.066767275,0.042983983,0.7487465,-0.1611898,0.47621363,0.3728782,0.14012532,0.44526693,0.24154533,0.20376575,-0.1580302,0.68711764,0.24762863,0.17930801,0.34331852,0.08976435,0.03390403,0.34021166,0.59706724,0.3803144,0.45046866,-0.1928402,-0.66645014,-0.11705978,0.34963322,0.39914382,-0.2246017,0.19548024,0.53547347,0.064321324,-0.8758015,-0.36999324,-0.9870672,-0.19181845,-0.14361233,-0.7061856,-0.7703182,0.91448116,0.40513918,-0.6693316,0.21100679,0.84280837,0.85988384,-0.15672767,0.89830345,0.81055003,0.77661896,0.6148711,-0.09671335,0.94550633,0.78709316,0.091571726,0.8191288,0.36605722,0.8938223,-0.88253874,0.6862517,0.95440406,0.845117,0.2559071,-0.91736525,0.2826732,-0.68607134,0.08041095,-0.8995812,-0.91775614,-0.4251285,0.70947266,0.3776968,-0.8029803,0.6923491,-0.6783005,0.7478428,-0.6694592,0.600525,0.8775889,-0.7262647,-0.8078294,-0.77031064,-0.083310485,-0.9360019,0.7266839,0.8760407,-0.6115736,-0.25962627,-0.6783247,-0.42941675,-0.9355795,-0.9471704,-0.6609216,-0.50665605,-0.27870277,-0.87548375,0.94912153
TR_3800.csv,6,7,-0.6375284,-0.85933274,-0.9030133,0.84354275,0.96971387,-0.69545066,-0.9314262,0.84942687,0.27697563,-0.91923743,0.736604,-0.77418983,-0.9735461,-0.9487837,0.9043808,0.8418661,0.09342542,-0.9711223,0.88282067,0.96440965,0.32481462,0.95637876,-0.86809283,-0.37685028,0.4692628,0.89303625,-0.20250124,0.17757282,0.9621845,-0.26201007,0.3270245,0.7706282,-0.9669887,-0.83703417,0.09533919,0.95786405,-0.91805154,0.9379663,-0.6831033,0.18214014,-0.87599796,0.54411834,0.14295799,0.9140194,-0.8953091,0.9216836,-0.039967217,-0.8650534,0.9217783,0.27642798,0.9167882,0.6777817,-0.9267405,-0.054183945,-0.961749,-0.64283407,-0.48950952,0.55229825,0.7131384,0.8665355,-0.92549527,-0.8950026,-0.9685778,0.9540452,-0.18946433,-0.075300366,0.06365848,0.44337156,0.15422368,-0.33585596,0.17664003,-0.50704324,0.10052493,0.17043628,-0.07044557,-0.2959559,-0.1521146,-0.50624335,0.40747175,0.10648882,-0.31003386,-0.13413705,-0.3705961,0.38844457,-0.21017464,0.13787521,-0.35462976,0.35270378,0.11969035,0.5485396,0.15354167,-0.24571997,-0.43313497,-0.17315787,-0.1661315,-0.27378973,0.6651444,0.20931414,0.021446977,0.44829202,0.53469986,-0.34352612,0.53797466,0.16864975,0.27592555,0.2799389,-0.29467934,0.06536184,-0.29179388,0.40365162,-0.21492277,-0.030204045,0.29187876,0.044080697,0.06609217,-0.059174474,-0.34250638,0.46057305,0.4030823,-0.4425758,-0.17470364,-0.28361273,0.52032113,0.22284608,-0.5609726,-0.04196848,0.22624078,-0.063852414,0.9763751,0.9630167,0.57254714,0.97998536,-0.84596884,0.8336635,0.8722697,-0.9763379,0.86237806,0.96858406,0.9456613,-0.9752907,-0.96919525,0.9337727,-0.11422445,0.108269446,-0.948202,-0.9320581,0.9624539,-0.90483606,-0.93066347,0.8552978,-0.97767556,-0.94982606,-0.9343385,0.9660791,-0.8621163,-0.21953365,-0.53880584,0.9269085,0.80961365,-0.98232174,0.8526553,-0.6410845,0.97441834,0.8102231,0.9883592,0.61407363,-0.9534103,0.056568693,-0.9392234,0.75875527,0.7166115,0.9827714,-0.68808174,-0.33324665,0.9509244,-0.00929685,0.9754624,0.95606124,0.6303434,-0.96215254,-0.69672585,0.94515973,-0.9472115,0.04744359,-0.6398518,0.81160927,0.87350976,0.7028776,0.9273195,-0.60540235,0.9469849,-0.97520345
TR_3392.csv,3,4,-0.49284402,0.41694766,0.82724357,-0.6520351,-0.6419481,-0.85090595,0.87377304,-0.9785803,-0.7388981,0.8225395,-0.88020796,0.8047467,0.45143533,0.9301157,0.10816923,-0.9244136,0.84381837,0.8684364,-0.46963048,-0.6603806,0.91180444,-0.8452744,0.84545124,-0.10341501,0.8336741,-0.8662325,0.9726577,0.88526124,-0.5291841,-0.91519177,0.96344256,-0.82043177,0.8987595,0.9028261,-0.9850127,-0.9216581,0.88089854,-0.6693139,0.98569113,0.916082,0.29626155,-0.49511856,-0.93939656,-0.90569204,-0.6687243,-0.78341824,-0.94682056,-0.60190666,-0.8400794,-0.96596074,-0.90312827,-0.86822695,-0.15145528,0.99653476,0.018052682,0.9336182,0.760225,0.65874296,-0.92817837,-0.21923411,0.78887147,0.96585137,0.9107418,-0.8881112,-0.48898536,0.38211778,0.5662021,-0.05009512,-0.05201558,0.040703982,0.16838232,-0.53969115,-0.039719597,0.21929014,0.40054363,-0.609851,-0.028727403,-0.65813667,-0.08028944,0.25467277,0.18462244,0.21161953,-0.59998554,-0.21591704,-0.105412655,-0.034982357,-0.25667453,-0.08853728,0.5215813,-0.13558047,0.352584,-0.50073063,-0.53413427,0.36370635,0.5326039,-0.053200312,0.19036636,0.42376888,0.15110369,0.5115645,0.39887238,-0.35897526,0.64774346,0.76585394,0.4016948,0.2402815,0.16049983,-0.12575097,0.46616516,0.37195662,-0.16220562,0.062059525,0.30406684,-0.20803557,0.08799221,-0.30666816,0.4353644,0.26255137,0.24289131,-0.29442096,-0.17900138,-0.15703268,0.09740734,0.17325301,-0.4769918,-0.2706229,0.63067573,0.032657064,-0.926029,-0.51067644,-0.96964264,0.46753192,-0.5463942,-0.9068934,-0.85672945,0.72220105,0.89239496,-0.14092356,0.7935338,0.91152203,0.6865812,-0.30407056,0.9275593,0.8011556,0.78083235,0.448285,0.6758157,0.9558807,0.89802605,0.44749928,0.86423606,0.40282074,0.87409693,-0.93917155,0.62772936,0.97785467,0.87286335,0.8103265,-0.87213826,0.46682873,-0.8127737,-0.64845717,-0.9519229,-0.9539309,0.08507264,0.78703916,0.40228194,-0.78344905,0.41830623,-0.47224903,0.97350943,0.45801648,0.6017519,0.97489333,-0.29214227,-0.72692794,-0.13733506,0.9269788,-0.96093494,0.48669335,0.7950076,0.20667242,-0.8740411,-0.8641649,-0.8584466,-0.95192075,-0.89415765,-0.14401492,-0.42999202,-0.705111,-0.90188414,0.9488154
TR_3400.csv,8,4,-0.8297634,-0.89727724,-0.9069792,0.86882097,0.9359941,-0.72669804,-0.881737,0.8505726,0.14276978,-0.93866193,0.6616539,-0.8699849,-0.9579992,-0.95528483,0.95765656,0.7967104,0.14610204,-0.96953917,0.8945276,0.95521003,0.627278,0.961243,-0.77009326,-0.6679501,0.7144549,0.905813,-0.0642412,0.50594914,0.9515827,-0.335478,0.70983016,0.7618035,-0.9479051,-0.82781565,0.2824744,0.9460826,-0.9191499,0.9598013,-0.51673007,0.48826542,-0.86432874,0.67151994,-0.30679134,0.8904182,-0.9323837,0.9170875,-0.61324185,-0.8665159,0.93873197,0.07262498,0.85227937,0.6416369,-0.9425194,0.13277814,-0.9828658,-0.7332621,-0.16429582,0.7491934,0.72474337,0.8721907,-0.94622326,-0.7940691,-0.9746653,0.93397224,-0.32530242,0.45471781,0.2645734,0.25490645,0.044820007,-0.2057695,0.5430636,-0.8144703,-0.17123693,0.30234843,0.09016247,-0.4305362,0.024322808,-0.6862856,-0.09720168,-0.061083417,-0.65911597,0.03236696,-0.58640355,-0.042185992,-0.2389517,-0.10122824,-0.68457615,-0.14550948,-0.1600284,0.3197301,0.3340639,-0.09115044,-0.349469,0.43421713,0.008654594,-0.3247927,0.65808034,0.395211,-0.09735521,0.5219517,0.7065598,-0.30375957,0.4902003,0.43842518,0.28746277,0.5564486,-0.12141559,0.24981673,-0.07294876,0.56721455,-0.14436078,0.20673588,0.19835609,-0.26375735,0.17726445,0.13926618,0.22708449,0.4376464,0.30345842,0.025143376,-0.39494482,0.21066529,-0.07908109,0.44055727,-0.42121112,0.20929939,0.65545446,-0.018212533,0.9553257,0.94778866,0.4721174,0.9674829,-0.8643204,0.7872172,0.8438682,-0.95592976,0.8145682,0.9561729,0.92304647,-0.94910485,-0.94012606,0.8905614,-0.034976356,0.064592496,-0.91838014,-0.89204997,0.958412,-0.87477136,-0.89445865,0.82170856,-0.9619576,-0.95051175,-0.9034955,0.9308596,-0.8290842,-0.20187297,-0.42758,0.9220395,0.7725494,-0.97189105,0.8436949,-0.596381,0.96360344,0.70711654,0.9850822,0.56321585,-0.9377548,0.098602094,-0.9349867,0.7033723,0.70634484,0.98276347,-0.6698347,-0.25043043,0.93361753,0.04186553,0.96748024,0.9476004,0.5415353,-0.94011813,-0.5452503,0.9184017,-0.9284423,-0.00019656809,-0.6699749,0.78354293,0.79714686,0.6581928,0.9139896,-0.53446466,0.90207994,-0.95809704
