file,target_0,target_1,output_0_0,output_0_1,output_0_2,output_0_3,output_0_4,output_0_5,output_0_6,output_0_7,output_0_8,output_0_9,output_0_10,output_0_11,output_0_12,output_0_13,output_0_14,output_0_15,output_0_16,output_0_17,output_0_18,output_0_19,output_0_20,output_0_21,output_0_22,output_0_23,output_0_24,output_0_25,output_0_26,output_0_27,output_0_28,output_0_29,output_0_30,output_0_31,output_0_32,output_0_33,output_0_34,output_0_35,output_0_36,output_0_37,output_0_38,output_0_39,output_0_40,output_0_41,output_0_42,output_0_43,output_0_44,output_0_45,output_0_46,output_0_47,output_0_48,output_0_49,output_0_50,output_0_51,output_0_52,output_0_53,output_0_54,output_0_55,output_0_56,output_0_57,output_0_58,output_0_59,output_0_60,output_0_61,output_0_62,output_0_63,output_1_0,output_1_1,output_1_2,output_1_3,output_1_4,output_1_5,output_1_6,output_1_7,output_1_8,output_1_9,output_1_10,output_1_11,output_1_12,output_1_13,output_1_14,output_1_15,output_1_16,output_1_17,output_1_18,output_1_19,output_1_20,output_1_21,output_1_22,output_1_23,output_1_24,output_1_25,output_1_26,output_1_27,output_1_28,output_1_29,output_1_30,output_1_31,output_1_32,output_1_33,output_1_34,output_1_35,output_1_36,output_1_37,output_1_38,output_1_39,output_1_40,output_1_41,output_1_42,output_1_43,output_1_44,output_1_45,output_1_46,output_1_47,output_1_48,output_1_49,output_1_50,output_1_51,output_1_52,output_1_53,output_1_54,output_1_55,output_1_56,output_1_57,output_1_58,output_1_59,output_1_60,output_1_61,output_1_62,output_1_63
DV_294.csv,5,4,-0.46923706,0.74658895,-0.68368345,-0.6892694,0.89953417,0.7036994,0.8015444,-0.4556812,0.8474898,-0.9119765,-0.8551487,-0.4005303,0.019027134,0.67146,-0.35581177,-0.7289144,0.29634285,0.78944075,-0.6120079,0.7309064,0.105745226,0.19061476,-0.62643474,0.42522553,0.6940571,-0.62521935,-0.70218116,0.5166935,0.2834832,0.02539096,-0.65058094,0.785708,-0.07133476,-0.011195234,-0.46755907,0.5709371,0.6952193,0.18164438,-0.1795012,0.6311646,0.6145229,-0.41381174,0.64227504,0.714686,0.35469115,-0.5712472,-0.3194301,-0.70211107,-0.3683661,-0.6172109,0.6293738,-0.8156856,-0.29095554,0.6578485,0.33401608,-0.6484763,0.4987072,-0.6327568,0.894506,0.7492603,-0.8668114,-0.90507036,-0.64463204,0.8254451,-0.20020893,0.6329366,0.8050488,0.8574053,0.7852667,0.3606889,0.7318672,-0.3919467,0.08101499,0.2744698,0.40805492,0.1542051,-0.43668234,-0.08376262,-0.50896645,0.7045996,-0.4099947,0.679215,0.6127864,-0.8264467,-0.7267831,0.41154236,-0.7486084,-0.21349454,0.029968217,-0.433537,-0.38819414,0.45437172,0.76464355,0.60318327,0.5275325,0.6157439,0.5596607,-0.030492075,-0.29339632,0.3208604,-0.7402022,0.5464354,-0.502282,-0.11731435,-0.84869283,-0.8316258,-0.31108382,-0.6592517,0.5052089,0.14445832,-0.63658684,0.057099342,-0.6550145,-0.6161897,-0.6923585,-0.4856007,0.4766819,-0.6350386,-0.52264935,0.7085446,-0.046038207,0.51343983,0.04579054,-0.76142716,0.27448824,0.11283653,-0.48443294,0.65648973
DV_2372.csv,4,3,-0.65266,0.992104,-0.5716542,-0.6157396,0.59698474,0.63013303,0.5679524,-0.21013804,0.9457516,-0.9045307,-0.91368085,-0.7876529,-0.29783708,0.41931874,0.062311333,-0.86889726,0.87745214,0.19780824,-0.74482244,0.2752892,-0.23420751,-0.48184946,0.8328791,0.35386482,0.7947415,-0.5188476,-0.64578336,0.8553342,0.95303434,0.57574135,-0.92248404,0.6855376,-0.055278197,-0.20240024,0.87518215,0.6731039,0.8762569,0.39410067,0.7000237,-0.38117278,0.91615266,-0.32076356,0.22673021,0.020430785,-0.04869537,-0.885113,-0.92672634,-0.7588207,-0.66436523,-0.862134,0.4687887,-0.5751017,-0.17145121,0.7686371,0.91196877,0.6391316,0.45752448,-0.1198443,0.87430537,0.70055234,-0.4490882,-0.89256597,-0.64077854,0.82035416,0.5469066,0.67308617,0.46917152,0.7951179,0.9278705,-0.9006413,0.20090885,-0.8939793,-0.36013663,0.9557955,-0.8624805,-0.7418849,-0.2839321,-0.15688369,0.17353404,0.79722506,0.0022364184,0.9572018,0.7901547,-0.98196656,-0.9074675,-0.8105381,-0.94303244,-0.71835065,-0.8999285,-0.15223141,0.5550264,0.69969416,-0.39984614,0.5588942,-0.41036344,-0.24430865,0.89583135,-0.09393113,-0.21954527,0.88320655,-0.41925028,-0.5664338,-0.35552812,0.51862377,-0.9605298,-0.9879449,0.4016325,0.18284564,0.97386557,0.48184982,-0.42075896,0.34034646,0.21032228,-0.95478874,0.39773214,-0.09682637,0.17593506,-0.96104914,0.7021236,0.99048287,-0.1573184,0.7961552,-0.7807855,0.2958579,-0.2107652,-0.57825804,-0.23558563,0.36896425
DV_262.csv,6,5,0.7537798,-0.7621714,0.827073,0.2162432,-0.23583747,-0.9345809,0.17866255,-0.15186131,-0.766869,0.66461587,0.70718527,0.9194946,0.92029876,-0.09603355,0.16476847,0.9961472,-0.9293919,-0.59425604,0.97073483,-0.5663168,0.1254075,0.89361894,-0.9646722,-0.5115251,-0.6959959,0.6443006,0.9755218,-0.7556542,-0.9483357,-0.76974714,0.96443725,-0.85464364,0.5408053,0.25307858,-0.9832431,-0.53332204,-0.3571117,0.040331364,-0.680785,-0.1382663,-0.9100872,0.1911899,-0.273738,-0.4507541,0.9720653,0.82444584,0.8181965,0.94078183,0.6283432,0.85401547,-0.9797087,0.5784892,0.8331728,-0.76794195,-0.64229906,-0.9622101,-0.958848,-0.33825916,-0.4135148,-0.96579075,0.40563735,0.4425439,0.83779234,-0.9696159,0.047443822,0.56042564,0.4414945,0.67046404,0.64382577,-0.22965492,0.40917236,-0.68323255,-0.029040802,0.61397386,0.18256737,-0.26399755,-0.090139784,-0.2692109,-0.21443576,0.70408785,-0.47266847,0.678013,0.6535764,-0.6770622,-0.6645876,-0.011175529,-0.30120417,-0.363087,-0.18278897,-0.55071574,0.07684596,0.6766865,0.16115187,0.45978165,0.2542452,0.27569005,0.69872445,0.068580836,-0.6110382,0.5541053,-0.59130746,-0.10015824,-0.50012666,-0.08895768,-0.682467,-0.83525616,-0.20088302,-0.4668595,0.66143095,0.018093167,-0.519916,-0.18578859,-0.4701986,-0.88576746,-0.24845903,-0.091286145,0.69185907,-0.78525424,0.27125537,0.86878633,-0.22626416,0.47310868,-0.0880659,-0.3030387,0.303234,-0.037975404,-0.24300867,0.24411209
DV_2770.csv,8,6,-0.5187479,-0.52062255,0.26359606,0.6185597,0.7851161,-0.5805211,0.7886432,0.39417565,-0.60202134,-0.23900753,0.6423966,0.68161285,0.29935583,-0.01077996,0.7731476,0.97652286,-0.87258154,0.79695797,0.73200446,0.8691763,-0.53766173,0.5217496,-0.9634038,0.6728902,-0.092193015,-0.8971065,0.7332864,-0.27491793,-0.59990174,-0.18227696,0.730823,-0.689772,0.5174131,0.69381475,-0.96157026,-0.08034151,0.3643709,-0.3164787,-0.35613835,0.517797,-0.91874355,-0.78104776,-0.34471253,0.36619332,0.6193775,0.38229436,0.11964554,0.9341924,0.005249107,0.29623657,-0.9226016,-0.6633035,0.32546377,0.13216753,-0.030378794,-0.9603308,-0.89456457,-0.6886268,0.86914116,-0.56782144,-0.8575262,-0.8646509,0.48503748,-0.9445988,0.24995913,0.06999256,-0.23035531,0.0022903306,0.13192868,-0.7467167,-0.08793294,-0.8099262,-0.42246094,0.44556507,-0.7410647,-0.5757304,-0.41507897,0.45104054,0.06671909,0.13463421,0.5533283,0.74908596,-0.10735698,-0.6478911,-0.09223054,-0.5633789,-0.69648236,-0.102568,-0.42672336,0.22608234,0.479037,0.19022645,-0.4483517,-0.46324584,-0.14441942,-0.2509162,0.12655495,-0.42955074,0.46165666,0.76848346,0.26035634,-0.45574465,0.2066438,0.60347366,-0.35336396,-0.3100939,0.57598543,0.34112397,0.44877663,0.39072213,0.49150828,0.24066195,0.4786335,-0.49610338,0.48115927,0.25056982,-0.5639255,-0.20283137,0.15139091,0.266941,0.335032,0.14783335,-0.4949972,0.38877526,-0.38557684,-0.6643051,0.3410277,-0.21400993
DV_1706.csv,1,5,-0.6355787,0.16644858,-0.055662934,0.04635203,0.8510617,-0.02442031,0.8199559,-0.21938285,0.37560445,-0.74633586,-0.09542345,0.124999106,0.14461087,0.31052697,0.21247225,0.38240647,-0.7354939,0.6778551,0.059284545,0.84145766,0.005375188,0.30321822,-0.91985875,0.49554154,0.22633654,-0.81412464,-0.018980172,0.092305124,-0.13435891,0.041577876,0.014899914,0.14766128,0.2637121,0.58075935,-0.8512178,0.091655545,0.5119666,-0.004147658,-0.4535563,0.7258464,-0.56034946,-0.45055732,0.26656726,0.60602814,0.48892725,-0.16843955,-0.11062173,0.46283454,0.011324681,-0.05320022,-0.2522904,-0.6773509,0.07643348,0.57257307,0.2194602,-0.90422827,-0.15446137,-0.6693959,0.8501454,0.2146191,-0.87956977,-0.865323,-0.02424379,-0.5494329,0.2616589,0.69263726,0.3185492,0.76146144,0.9278563,-0.9082965,-0.101790845,-0.96211,-0.39173838,0.96205544,-0.93967813,-0.7293411,-0.11959162,0.15245599,-0.38792318,0.65198165,0.061216474,0.97873664,0.694132,-0.9899331,-0.9086432,-0.8729307,-0.87525403,-0.49053133,-0.8994537,-0.43402964,0.4493187,0.6620713,-0.49770632,0.4789235,-0.43789855,-0.101873666,0.8523703,-0.11388199,-0.17486432,0.8912519,-0.10877667,-0.64067656,-0.32183966,0.48934138,-0.97533095,-0.972715,0.10029054,0.16555321,0.9540744,0.5116252,-0.31830096,0.5566977,0.11485961,-0.97830504,0.4471111,-0.101768784,-0.11894894,-0.927782,0.31949028,0.9886868,-0.023647785,0.6870402,-0.77325374,0.3385691,-0.35183904,-0.5215158,-0.11580778,0.20388485
DV_940.csv,4,4,0.13624915,-0.7701832,0.6220095,0.34502164,0.49896717,-0.71671563,0.64724904,-0.057935737,-0.75211376,0.229589,0.57335943,0.7806903,0.75314313,0.34125507,0.3621683,0.9902721,-0.9102727,0.3914921,0.8995425,0.6255678,-0.15589279,0.7719125,-0.974105,0.40702343,-0.5294356,-0.5683257,0.86887074,-0.6352763,-0.7674674,-0.5122423,0.87782156,-0.7466502,0.46267885,0.67555773,-0.9808485,-0.3286791,-0.024321739,-0.24434768,-0.58314186,0.6021433,-0.95811254,-0.45341077,-0.21085985,0.41236842,0.8794416,0.6540684,0.59199923,0.94549394,0.35232487,0.5923037,-0.95554173,-0.14607199,0.65455115,-0.113910854,-0.27139157,-0.9827323,-0.9236141,-0.62738484,0.5949232,-0.7278312,-0.71680516,-0.51175976,0.7169931,-0.9766925,0.70019805,-0.25319096,-0.43437213,-0.14396006,-0.4106434,-0.98562676,-0.7513668,-0.995798,-0.9822193,0.95449084,-0.99485636,-0.91979665,-0.37829578,0.817879,0.9208332,0.10520691,0.9822782,0.9851885,-0.06421836,-0.993345,-0.021434847,-0.9743884,-0.97920823,-0.5691502,-0.9593309,0.87013066,0.9379544,0.4612868,-0.8577531,-0.9038357,-0.8817133,-0.86924344,0.7769244,-0.9211621,0.93289864,0.9833692,0.69068754,-0.97145456,0.86149067,0.93192315,-0.5958243,-0.7153709,0.98919046,0.798949,0.86724615,0.44973823,0.8186709,0.80263674,0.9239133,-0.31506258,0.8418194,0.4556989,-0.94643307,-0.45080212,0.7084155,0.6248391,0.8071298,-0.24435572,-0.85223997,0.9762485,-0.8057003,-0.99131966,0.69881874,-0.5615061
DV_3546.csv,5,4,-0.36753103,-0.4772452,0.3977661,-0.17381981,0.7202904,-0.42153782,0.78599197,-0.7574838,0.05053332,-0.27618128,0.20840888,0.11777316,0.73390114,0.54290795,-0.3647955,0.8525487,-0.83001304,0.17868918,0.56839967,0.6600416,0.39290345,0.62305516,-0.9451124,0.5370443,-0.2526888,-0.6373439,0.24710083,-0.27819148,-0.42257306,-0.37797895,0.1764711,-0.045061342,0.4536994,0.69071114,-0.90515864,-0.15010047,0.33074808,0.26825523,-0.66801417,0.76594007,-0.6064112,0.10108258,0.6427084,0.6653358,0.8170809,0.19293706,0.18883029,0.44086432,0.6337241,0.31574047,-0.4914363,-0.13200337,0.64054376,0.2991468,0.03701216,-0.9714117,-0.33257246,-0.5334133,0.69297403,0.083746634,-0.838469,-0.5327247,0.2643817,-0.8268415,0.19311346,0.03736114,-0.28832006,0.011467183,0.313894,-0.84453475,-0.24044508,-0.8492989,-0.4718843,0.5344552,-0.8577729,-0.6973197,-0.34994864,0.4719414,0.18787915,0.13129829,0.5852422,0.78816247,-0.19491744,-0.74689376,-0.21545221,-0.7142853,-0.7877937,-0.21710874,-0.58538526,0.26247582,0.61068,0.07640069,-0.5235504,-0.45820543,-0.35476595,-0.22624984,0.2661261,-0.46924528,0.5859838,0.868106,0.24754733,-0.54110694,0.23798004,0.60867685,-0.5501942,-0.34685472,0.6813195,0.41913837,0.59412175,0.37603533,0.60261315,0.2746488,0.5677893,-0.5551933,0.6319181,0.32771078,-0.6659613,-0.34866303,0.22936234,0.52505076,0.37997937,0.15004101,-0.6147296,0.54549694,-0.4697704,-0.699774,0.36628735,-0.30023932
DV_3020.csv,1,4,-0.8129732,0.89293957,-0.4030232,-0.79432875,0.9393225,0.56206393,0.9006189,-0.8496859,0.9488737,-0.9489368,-0.87504655,-0.42138153,0.08206131,0.4785179,-0.25582123,-0.71616936,-0.26685363,0.6771975,-0.6262545,0.8232081,0.41329217,0.5458423,-0.9114175,0.5223157,0.6541797,-0.679145,-0.5146913,0.63521755,0.44606265,0.3111624,-0.79533607,0.74465734,0.37349436,0.4768271,-0.52955544,0.21898367,0.75010645,0.5889425,-0.54815805,0.7142376,0.5167806,-0.22357458,0.7917866,0.54149747,0.4380724,-0.69823366,-0.62963915,-0.6186493,0.12300137,-0.5154706,0.6637906,-0.8870333,-0.15250078,0.7789618,0.5566631,-0.85466355,0.62160105,-0.61117697,0.8987363,0.70066977,-0.9259717,-0.905,-0.5728996,0.8123429,-0.1377322,0.18167032,0.20527266,0.51348305,0.20934933,-0.21843132,0.19699235,-0.2140255,0.7047279,0.037476227,-0.23966826,-0.14373307,-0.38864243,0.05359173,-0.11462044,0.52632403,-0.56895775,0.6015219,0.07359625,0.3410098,-0.4079098,-0.013914794,-0.06267314,0.010729625,0.21741354,-0.56194377,-0.23820767,-0.057699908,0.28812054,0.11885637,0.6322064,0.3015171,0.010266535,0.2999031,-0.5156738,0.60133576,-0.12259848,0.36982638,-0.43971565,-0.537602,-0.24817885,-0.09196755,-0.37905747,-0.10490174,-0.34318534,0.22941405,-0.22818974,-0.3499333,-0.22380942,-0.5525106,0.23943463,-0.10154546,0.2542103,-0.09700745,-0.5569664,-0.25895625,-0.3834156,0.43404317,0.2044749,-0.28016293,-0.010000292,-0.22354022,-0.28997105,0.10129506
DV_2216.csv,5,5,-0.738163,0.5630823,-0.48461795,-0.59918875,0.93254876,0.17942704,0.91466576,-0.71997434,0.83639985,-0.9145958,-0.7074751,-0.26810327,-0.063463666,0.3927475,-0.21895142,-0.47219664,-0.7055268,0.7393684,-0.39877737,0.90814817,0.06230583,0.5936504,-0.94932246,0.48560402,0.47109497,-0.8541338,-0.5040916,0.34378254,0.10366495,0.22404192,-0.6228816,0.6754813,0.16791838,0.6402501,-0.732648,0.20061411,0.6578389,0.26197422,-0.51713043,0.857595,-0.12904796,-0.40030533,0.6973692,0.6802343,0.3955513,-0.5875701,-0.35347447,-0.20375727,0.34781477,-0.21721856,0.41621715,-0.8232133,-0.12147256,0.7495394,0.23144576,-0.9360348,0.5388039,-0.56365305,0.9134099,0.68461394,-0.9523873,-0.877067,-0.29616636,0.2673369,0.2676084,0.09112727,-0.33419615,-0.10608468,0.026672922,-0.9033994,-0.32328463,-0.9129933,-0.6923909,0.54155815,-0.88176835,-0.7227892,-0.40190187,0.60774684,0.27161124,0.013182461,0.7402023,0.812801,-0.21034196,-0.7990909,-0.021769416,-0.7551828,-0.8382922,-0.18811718,-0.65052265,0.42086717,0.6957397,0.15257192,-0.57395,-0.59448624,-0.44767135,-0.37159765,0.30005693,-0.59509295,0.6385914,0.89832854,0.32810062,-0.63913476,0.38569272,0.7384232,-0.41446018,-0.28605187,0.79684967,0.4459085,0.549716,0.42218027,0.64883995,0.35515523,0.67555153,-0.5365322,0.6300807,0.35210523,-0.75269836,-0.28042722,0.34028795,0.4221194,0.5258752,0.094180994,-0.63537943,0.63620675,-0.4771764,-0.8100656,0.4995414,-0.3279195
DV_1562.csv,1,5,-0.40620288,0.77683383,-0.12239945,-0.802841,0.19181572,0.6785034,0.32572237,-0.76168406,0.8919531,-0.7568137,-0.854761,-0.23958509,0.021679746,0.45481655,-0.7231155,-0.70304066,0.6782662,-0.049218748,-0.7744529,0.20888478,0.42127907,-0.21104598,0.0029872209,0.49916586,0.55690414,-0.17621891,-0.51091105,0.53464496,0.50892234,0.24013498,-0.8020823,0.5446223,-0.093581885,-0.05178983,-0.11682045,0.24729903,0.10736839,0.7435737,-0.5239374,0.10347616,0.5245755,0.23413858,0.7948278,0.54383427,0.354657,-0.27789643,-0.58411837,-0.67471373,0.40370828,-0.497743,0.72445196,-0.3622753,0.4272284,0.26827258,0.69964045,-0.10632458,0.79471254,0.13290277,0.24402404,0.47235152,-0.28096288,-0.42810896,-0.5494601,0.80562764,0.18664163,-0.3010087,-0.23443204,-0.27711892,0.5666099,-0.0962876,-0.03279794,-0.0015363134,0.15618792,-0.5204361,0.15464804,0.37562224,0.012627561,-0.15107355,0.24923389,0.46500453,-0.25714085,-0.36268017,-0.29889825,0.63315076,0.04192518,-0.25221503,0.26438004,0.4359181,0.030642144,-0.31541377,0.41485608,-0.1122282,0.27082732,-0.25833556,0.15228176,0.11030652,-0.10618396,0.38286176,-0.22927114,0.1856709,0.33261278,0.02556391,-0.5082969,-0.36311066,0.19253081,0.32204556,-0.4766362,-0.46588188,0.13706055,-0.30906856,-0.16447094,-0.575715,-0.22186637,-0.13537022,0.24618441,0.27222016,-0.044725988,0.49941465,0.12877905,-0.6311763,-0.60634965,-0.46323308,-0.18686208,-0.0386495,0.33452564,-0.003721416,-0.017585937,-0.15850297
